Start Location,End Location,Registration,Start Geofence,End Geofence,Trip Distance
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,4.9
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Goba, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,13.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.7
"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,TAUSI MILL,Y,0.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,21.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,NGOSHAH FOOD COMPANY,Y,4.0
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,PSR Mill - C,Umoja Maize Flour Mills,7.3
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Tandale, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.0
"Azimio, Temeke, Dar es Salaam, Tanzania","Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T240EBJ,Senzige milling,Kanaani,1.5
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.2
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,0.7
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Sanku : Mikocheni,46.7
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T191DWL,X,Y,0.0
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,Sanku : Mikocheni,0.0
"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,1.7
"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,10.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mazimbu, Morogoro Urban, Morogoro, Tanzania","Mazimbu, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,1.2
"Chanika, Ilala, Dar es Salaam, Tanzania","Msongola, Ilala, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Y,0.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Kivumbe Mills,1.9
"Kingo, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Sabasaba, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Y,0.0
"Msongola, Ilala, Dar es Salaam, Tanzania","Msongola, Ilala, Dar es Salaam, Tanzania",T250EBJ,X,MTENDENI MASHINE,3.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,Y,7.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,9.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,7.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Boma, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,3.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Sanku : Mwanza,2.5
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Takadiri,Sanku : Dodoma,2.8
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Sanku : Dodoma,0.5
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Sanku : Mikocheni,Sanku : Mikocheni,0.0
"B127, Magole, Kilosa, Morogoro, Tanzania","B129, Dumila, Kilosa, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mbezi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,8.0
"Mbaruku Street, Gerezani, Ilala, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,15.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Manzese, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,X,MASAGAJA MILL,2.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T141DKS,X,Y,0.0
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Africa One Mill -B,Y,1.3
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Sanku : Dodoma,4.3
"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania","Kimara, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Isanga,Y,4.1
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Mujalya Mini Miller,Mama Happy,0.6
"Kilakala, Morogoro Urban, Morogoro, Tanzania","Kilakala, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.0
"Ubungo, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T141DKS,PSR Mill - A,Y,23.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Sandali, Temeke, Dar es Salaam, Tanzania",T191DWL,X,Y,18.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Sanku : Mikocheni,5.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,X,Y,0.0
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,1.0
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania","Yombo Vituka, Temeke, Dar es Salaam, Tanzania",MC473DKX,X,Y,0.0
"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,X,Sanku : Mikocheni,1.9
"Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Kilakala, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Sanku : Dodoma,6.6
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,X,Y,6.7
"Ubungo, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Y,0.3
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Sanku : Mikocheni,6.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,X,Y,2.1
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,2.8
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,5.7
"Station, Kingo, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,0.0
"Mvomero, Morogoro, Tanzania","Mvomero, Morogoro, Tanzania",T852DZQ,X,Y,1.6
"Kichangani, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.5
"Msasani, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,X,Y,7.4
"Nyerere Road, Chang'ombe, Temeke, Dar es Salaam, Tanzania","Nyerere Road, Chang'ombe, Temeke, Dar es Salaam, Tanzania",T980DMT,X,Y,1.6
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,2.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T862DQM,X,Y,0.5
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Tambani, Mkuranga, Pwani, Tanzania",T240EBJ,Sanku : Morogoro,Y,2.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kingo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Y,2.8
"Kunduchi, Kinondoni, Dar es Salaam, Tanzania","Ilala, Dar es Salaam, Tanzania",MC473DKX,X,S Mkilindi,29.1
"Mji mpya, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T457EBA,X,Y,3.7
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,0.0
"Kitunda, Ilala, Dar es Salaam, Tanzania","Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T250EBJ,X,Y,6.8
"B129, Kihonda, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,9.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,0.0
"Makangarawe, Temeke, Dar es Salaam, Tanzania","Makangarawe, Temeke, Dar es Salaam, Tanzania",T261DXJ,X,Y,17.6
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,5.2
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,1.4
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Akiaki Ltd,Y,9.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Mama Mcharo Milling - B,6.3
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",DFP8546,X,Y,12.2
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Isanga,Y,0.7
"Segerea, Ilala, Dar es Salaam, Tanzania","Kinyerezi, Ilala, Dar es Salaam, Tanzania",T240EBJ,X,Y,0.0
"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,6.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Kunduchi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Y,0.1
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Goldenpot Millers,Y,5.2
"Yombo Vituka, Temeke, Dar es Salaam, Tanzania","Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T250EBJ,X,Y,2.8
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Y,29.0
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",DFP8546,X,Y,8.7
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Bagamoyo Road, Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,X,Y,6.8
"Kitunda, Ilala, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T980DMT,X,Y,0.0
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,Y,18.7
"B127, Diongoya, Mvomero, Morogoro, Tanzania","B127, Diongoya, Mvomero, Morogoro, Tanzania",T863DQM,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,4.4
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Y,3.2
"Ubungo, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,2.7
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Kawe, Kinondoni, Dar es Salaam, Tanzania",T452EBA,X,Y,0.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T850DZQ,X,Y,6.2
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Kihonda, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,1.6
"Kimara, Kinondoni, Dar es Salaam, Tanzania","Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Sanku : Mikocheni,3.2
"Kaole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania","Msasani, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Katemi Food,Katemi Food,0.0
"Kitunda, Ilala, Dar es Salaam, Tanzania","Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,X,Y,0.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T853DZQ,X,Y,0.0
"Kingolwira, Morogoro Urban, Morogoro, Tanzania","A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,Chars Posho,Sanku : Mwanza,14.7
"Pugu Road, Kipawa, Ilala, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T141DKS,X,Y,9.8
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,7.6
"Hazina, Dodoma Urban, Dodoma, Tanzania","Kizota, Dodoma Urban, Dodoma, Tanzania",T980DMT,X,Y,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mwindu Lane, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Mashine ya Maji,10.5
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,11.8
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,5.6
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.8
"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Mshauri Milling,Y,0.2
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T850DZQ,Sanku : Mikocheni,Y,3.7
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Sanku : Morogoro,2.6
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,3.4
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Magore Street, Upanga Mashariki, Ilala, Dar es Salaam, Tanzania",T452EBA,Sanku : Dodoma,MPWAPWA GROUP,7.8
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,5.6
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Makuburi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,X,PSR Mill - A,13.2
"Kichangani, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,5.6
"Ubungo, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,X,Y,2.0
"Uwanja wa ndege, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,3.8
"Kilakala, Morogoro Urban, Morogoro, Tanzania","Kilakala, Morogoro Urban, Morogoro, Tanzania",T453EAJ,X,Y,3.8
"Manzese, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Sanku : Morogoro,Sanku : Morogoro,0.0
"Kawe, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T934DMX,X,Y,3.0
"Sabasaba, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Y,3.5
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Sanku : Dodoma,0.0
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Y,13.3
"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania","Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T850DZQ,S.A Mills,Y,3.6
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Y,15.4
"Ubungo, Kinondoni, Dar es Salaam, Tanzania","Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Africa One Mill -B,43.9
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T862DQM,Bamato,Y,5.6
"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,9.3
"Kihonda, Morogoro Urban, Morogoro, Tanzania","Kingolwira, Morogoro Urban, Morogoro, Tanzania",T853DZQ,X,Sanku : Mwanza,2.6
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania","Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,X,Y,3.1
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,X,Sanku : Mikocheni,0.0
