Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Mikocheni Wareh,8.87,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.21,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Samora Avenue, Kisutu, Ilala, Dar es Salaam, Tanzania",,8.41,DFP8546
"Samora Avenue, Kivukoni, Ilala, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,9.49,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.15,DFP8546
"Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,0.53,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,21.87,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",,23.43,DFP8546
"Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",,"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,10.73,DFP8546
"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,1.15,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.29,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,5.36,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.27,DFP8546
