,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
343,2023-11-14 19:21:24,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-11-14 19:21:56,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Out of Route,Ivan Investment Company,9.5
344,2024-01-12 12:25:48,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 12:30:36,"Sinza, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Naima Mills,PSR Mill - J,19.2
345,2024-01-25 16:36:41,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-25 18:06:22,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,Sanku : Dodoma,Out of Route,9.2
346,2023-11-24 21:41:34,"Tumbi, Kibaha, Pwani, Tanzania",2023-11-24 22:57:53,"Makangarawe, Temeke, Dar es Salaam, Tanzania",T258DXJ,Out of Route,Sanku : Mikocheni,22.4
347,2023-12-01 10:31:59,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-01 10:36:28,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Out of Route,0.0
348,2023-10-17 12:58:22,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-10-17 13:17:16,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,0.0
349,2023-10-16 19:59:53,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-16 20:00:41,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T934DMX,KESHI 1 GROUP MILING MACHINE,Out of Route,0.9
350,2024-01-16 17:43:11,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-16 17:45:28,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Lina,Out of Route,37.4
351,2023-11-09 11:57:44,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-09 11:59:36,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.1
352,2023-11-29 12:57:48,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-11-29 13:22:19,"Kongo Street, Gerezani, Ilala, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.0
353,2024-01-12 14:26:29,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-12 14:32:27,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0
354,2023-11-30 15:35:13,"Kitunda, Ilala, Dar es Salaam, Tanzania",2023-11-30 15:41:30,"Kitunda, Ilala, Dar es Salaam, Tanzania",T934DMX,Out of Route,Out of Route,0.0
355,2023-10-31 08:57:37,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-10-31 09:19:36,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,11.3
356,2023-11-01 11:45:06,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-11-01 11:56:34,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,2.6
357,2023-10-27 12:15:13,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-27 12:16:04,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Out of Route,4.9
358,2023-12-15 20:26:15,"Kunduchi, Kinondoni, Dar es Salaam, Tanzania",2023-12-15 20:35:53,"Goba, Kinondoni, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,13.7
359,2024-01-12 12:14:41,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2024-01-12 12:16:57,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.7
360,2023-10-04 10:48:57,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-10-04 11:02:01,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,TAUSI MILL,Out of Route,0.7
