,Unnamed: 0,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance,Position Description
238,238,Makaburi,2023-12-01 21:13:07,Makaburi,T258DXJ,Out of Route,Out of Route,20.2,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
239,239,"Dodoma Road, Majengo, Dodoma Urban, Dodoma, Tanzania",2024-01-25 11:11:10,"Dodoma Road, Majengo, Dodoma Urban, Dodoma, Tanzania",T141DKS,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
240,240,"Sultan Area, Morogoro Urban, Morogoro, Tanzania",2024-01-31 08:14:54,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
241,241,Mwembesongo,2023-11-22 17:50:45,Mwembesongo,T457EBA,Out of Route,Out of Route,5.6,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
242,242,"B129, A7, Mwembesongo",2023-10-06 08:34:12,"B129, A7, Mwembesongo",T453EAJ,Out of Route,Out of Route,6.9,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
243,243,Mwembesongo,2023-10-24 08:25:23,Mwembesongo,T453EAJ,Out of Route,Sanku : Dodoma,83.1,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
244,244,Mikocheni,2023-11-06 14:18:23,Manzese,T196DQG,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
245,245,Mji mpya,2023-11-27 14:40:26,Mji mpya,T457EBA,Out of Route,Sanku : Mwanza,0.4,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
246,246,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-10-30 09:32:28,"Mkuranga, Pwani, Tanzania",DFP8546,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
247,247,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-12-18 16:42:24,"Kitunda, Ilala, Dar es Salaam, Tanzania",T248EBJ,Out of Route,Out of Route,13.5,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
248,248,Makaburi,2023-12-01 23:36:19,Makaburi,T261DXJ,Out of Route,Out of Route,0.2,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
249,249,"Kizota, Dodoma Urban, Dodoma, Tanzania",2023-10-04 15:34:14,"Kizota, Dodoma Urban, Dodoma, Tanzania",T980DMT,Out of Route,Out of Route,2.9,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
250,250,Mikocheni,2023-10-18 11:42:46,Mikocheni,T250EBJ,Out of Route,Mahanze,8.9,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
251,251,Mwembesongo,2023-12-19 14:00:43,Mwembesongo,MC473DKX,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
252,252,Mji mpya,2023-11-16 09:00:54,Mwembesongo,T863DQM,Out of Route,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
253,253,"Kawe, Kinondoni, Dar es Salaam, Tanzania",2023-10-12 12:28:50,Mikocheni,T141DKS,Sanku : Mikocheni,Out of Route,0.0,"Rashidi Kawawa Street, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
254,254,Kingolwira,2023-11-30 15:26:45,"A7, Kingolwira",T863DQM,Out of Route,Out of Route,1.2,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
255,255,Mikocheni,2023-10-24 13:12:58,Mikocheni,DFP8546,Out of Route,Out of Route,1.6,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
256,256,"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 19:17:12,Mikocheni,T250EBJ,Out of Route,Out of Route,2.5,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
257,257,Mikocheni,2024-01-02 14:49:39,Mikocheni,T258DXJ,Isanga,Sanku : Mikocheni,5.7,Mwananyamala
258,258,"Sinza, Kinondoni, Dar es Salaam, Tanzania",2024-01-29 14:32:45,Mikocheni,T240EBJ,Out of Route,Mdee A,2.5,"Bagamoyo Road, Mwananyamala, Kinondoni, Dar es Salaam, Tanzania"
